INI_FILE_NAME,PROJECT_NAME,SEQ_NAME,JOB_SEQ_NAME,FINAL_JOB_NAME,TWS_JOB_NAME,TWS_BATCH_NAME, ,JOB_STREAM_TYPE
SRV_SECURITY_ARRANGE_LIMITATI_Trans,RIP5_Staging03,,SRV_SECURITY_ARRANGE_LIMITATI_Trans,SRV_SECURITY_ARRANGE_LIMITATI_Trans,SRV00104,SRV_STG5_DLY,,
SRV_SECURITY_CHARGEES_Extract,RIP5_Staging03,,SRV_SECURITY_CHARGEES_Extract,SRV_SECURITY_CHARGEES_Extract,SRV00051,SRV_STG_DLY,,
SRV_SECURITY_CHARGEES_HDS_Load,RIP5_Staging03,,SRV_SECURITY_CHARGEES_HDS_Load,SRV_SECURITY_CHARGEES_HDS_Load,SRV00159,SRV_HDS_DLY,,
SRV_SECURITY_CHARGEES_Load,RIP5_Staging03,,SRV_SECURITY_CHARGEES_Load,SRV_SECURITY_CHARGEES_Load,SRV00132,SRV_STG_DLY,,
SRV_SECURITY_CHARGEES_Trans,RIP5_Staging03,,SRV_SECURITY_CHARGEES_Trans,SRV_SECURITY_CHARGEES_Trans,SRV00105,SRV_STG_DLY,,
SRV_SHIPS_Extract,RIP5_Staging03,,SRV_SHIPS_Extract,SRV_SHIPS_Extract,SRV00052,SRV_STG5_DLY,,
SRV_SHIPS_HDS_Load,RIP5_Staging03,,SRV_SHIPS_HDS_Load,SRV_SHIPS_HDS_Load,SRV00160,SRV_HDS_DLY,,
SRV_SHIPS_Load,RIP5_Staging03,,SRV_SHIPS_Load,SRV_SHIPS_Load,SRV00133,SRV_STG5_DLY,,
SRV_SHIPS_Trans,RIP5_Staging03,,SRV_SHIPS_Trans,SRV_SHIPS_Trans,SRV00106,SRV_STG5_DLY,,
SRV_SRV_OTHER_ASSETS_Extract,RIP5_Staging03,,SRV_SRV_OTHER_ASSETS_Extract,SRV_SRV_OTHER_ASSETS_Extract,SRV00053,SRV_STG_DLY,,
SRV_SRV_OTHER_ASSETS_HDS_Load,RIP5_Staging03,,SRV_SRV_OTHER_ASSETS_HDS_Load,SRV_SRV_OTHER_ASSETS_HDS_Load,SRV00161,SRV_HDS_DLY,,
SRV_SRV_OTHER_ASSETS_Load,RIP5_Staging03,,SRV_SRV_OTHER_ASSETS_Load,SRV_SRV_OTHER_ASSETS_Load,SRV00134,SRV_STG_DLY,,
SRV_SRV_OTHER_ASSETS_Trans,RIP5_Staging03,,SRV_SRV_OTHER_ASSETS_Trans,SRV_SRV_OTHER_ASSETS_Trans,SRV00107,SRV_STG_DLY,,
SRV_STOCK_SHARES_Extract,RIP5_Staging03,,SRV_STOCK_SHARES_Extract,SRV_STOCK_SHARES_Extract,SRV00054,SRV_STG6_DLY,,
SRV_STOCK_SHARES_HDS_Load,RIP5_Staging03,,SRV_STOCK_SHARES_HDS_Load,SRV_STOCK_SHARES_HDS_Load,SRV00162,SRV_HDS_DLY,,
SRV_STOCK_SHARES_Load,RIP5_Staging03,,SRV_STOCK_SHARES_Load,SRV_STOCK_SHARES_Load,SRV00135,SRV_STG6_DLY,,
SRV_STOCK_SHARES_Trans,RIP5_Staging03,,SRV_STOCK_SHARES_Trans,SRV_STOCK_SHARES_Trans,SRV00108,SRV_STG6_DLY,,
Stage_1_2_Provision_EUC_RDW_Extract_Seq,SRC,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Rayt_Provision_RunDates_Extract,SRCCRD0067,RAY_PROV_MLY,,
Stage_1_2_Provision_EUC_RDW_Extract_Seq,SRC,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Rayt_Provision_Driver_SRC_RDW_Extract,SRCCRD0067,RAY_PROV_MLY,,
Stage_1_2_Provision_EUC_RDW_Extract_Seq,SRC,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Stage_1_2_Provision_EUC_RDW_Extract_Seq,Rayt_Provision_Driver_SRC_EUC_Extract,SRCCRD0067,RAY_PROV_MLY,,
STB_COMBINED_ENRICHED_MV_Extract,SRC_STAGING,,STB_COMBINED_ENRICHED_MV_Extract,STB_COMBINED_ENRICHED_MV_Extract,STB0048,STB_STG1_DLY,,
STB_COMBINED_ENRICHED_MV_HDS_TL,SRC_STAGING,,STB_COMBINED_ENRICHED_MV_HDS_TL,STB_COMBINED_ENRICHED_MV_HDS_TL,STB0052,STB_HDS1_DLY,,
STB_COMBINED_ENRICHED_MV_Load,SRC_STAGING,,STB_COMBINED_ENRICHED_MV_Load,STB_COMBINED_ENRICHED_MV_Load,STB0050,STB_STG1_DLY,,
STB_COMBINED_ENRICHED_MV_SNP_Load,SRC_STAGING,,STB_COMBINED_ENRICHED_MV_SNP_Load,STB_COMBINED_ENRICHED_MV_SNP_Load,STB0051,STB_HDS1_MLY,,
STB_P_STBRundate,CBRT2,,STB_P_STBRundate,STB_P_STBRundate,STB0001,STB199SC_STG1,,
STB_PreProcess,SRC_STAGING,,STB_PreProcess,STB_PreProcess,STB0047,STB_STG1_DLY,,
STB_Recon,SRC_STAGING,,STB_Recon,STB_Recon,STB0049,STB_STG1_DLY,,
STB_T_Adjftrad_Clt_Capl_Extract,CBRT2,,STB_T_Adjftrad_Clt_Capl_Extract,STB_T_Adjftrad_Clt_Capl_Extract,STB0003,STB199SC_STG2,,
STB_T_Adjftrad_Clt_Capl_Load,CBRT2,,STB_T_Adjftrad_Clt_Capl_Load,STB_T_Adjftrad_Clt_Capl_Load,STB0005,STB199SC_STG2,,
STB_T_Adjftrad_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0002,STB199SC_STG2,,
STB_T_Adjftrad_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0004,STB199SC_STG2,,
STB_T_Adjftrad_Clt_Capl_SNP_Load,HDS2,,STB_T_Adjftrad_Clt_Capl_SNP_Load,STB_T_Adjftrad_Clt_Capl_SNP_Load,STB0038,STB199SC_HDS,,
STB_T_Firbnet_Clt_Capl_Extract,CBRT2,,STB_T_Firbnet_Clt_Capl_Extract,STB_T_Firbnet_Clt_Capl_Extract,STB0007,STB199SC_STG2,,
STB_T_Firbnet_Clt_Capl_Load,CBRT2,,STB_T_Firbnet_Clt_Capl_Load,STB_T_Firbnet_Clt_Capl_Load,STB0009,STB199SC_STG2,,
STB_T_Firbnet_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0006,STB199SC_STG2,,
STB_T_Firbnet_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0008,STB199SC_STG2,,
STB_T_Firbnet_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbnet_Clt_Capl_SNP_Load,STB_T_Firbnet_Clt_Capl_SNP_Load,STB0039,STB199SC_HDS,,
STB_T_Firbnet3_Clt_Capl_Extract,CBRT2,,STB_T_Firbnet3_Clt_Capl_Extract,STB_T_Firbnet3_Clt_Capl_Extract,STB0011,STB199SC_STG2,,
STB_T_Firbnet3_Clt_Capl_Load,CBRT2,,STB_T_Firbnet3_Clt_Capl_Load,STB_T_Firbnet3_Clt_Capl_Load,STB0013,STB199SC_STG2,,
STB_T_Firbnet3_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0010,STB199SC_STG2,,
STB_T_Firbnet3_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0012,STB199SC_STG2,,
STB_T_Firbnet3_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbnet3_Clt_Capl_SNP_Load,STB_T_Firbnet3_Clt_Capl_SNP_Load,STB0040,STB199SC_HDS,,
STB_T_Firbtrd_Clt_Capl_Extract,CBRT2,,STB_T_Firbtrd_Clt_Capl_Extract,STB_T_Firbtrd_Clt_Capl_Extract,STB0019,STB199SC_STG2,,
STB_T_Firbtrd_Clt_Capl_Load,CBRT2,,STB_T_Firbtrd_Clt_Capl_Load,STB_T_Firbtrd_Clt_Capl_Load,STB0021,STB199SC_STG2,,
STB_T_Firbtrd_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0018,STB199SC_STG2,,
STB_T_Firbtrd_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0020,STB199SC_STG2,,
STB_T_Firbtrd_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbtrd_Clt_Capl_SNP_Load,STB_T_Firbtrd_Clt_Capl_SNP_Load,STB0041,STB199SC_HDS,,
STB_T_Firbtrd3_Clt_Capl_Extract,CBRT2,,STB_T_Firbtrd3_Clt_Capl_Extract,STB_T_Firbtrd3_Clt_Capl_Extract,STB0015,STB199SC_STG2,,
STB_T_Firbtrd3_Clt_Capl_Load,CBRT2,,STB_T_Firbtrd3_Clt_Capl_Load,STB_T_Firbtrd3_Clt_Capl_Load,STB0017,STB199SC_STG2,,
STB_T_Firbtrd3_Clt_Capl_Pre,CBRT2,,RRM_STB_PreProcess,RRM_STB_PreProcess,STB0014,STB199SC_STG2,,
STB_T_Firbtrd3_Clt_Capl_Rec,CBRT2,,RRM_STB_Reconciliation,RRM_STB_Reconciliation,STB0016,STB199SC_STG2,,
STB_T_Firbtrd3_Clt_Capl_SNP_Load,HDS2,,STB_T_Firbtrd3_Clt_Capl_SNP_Load,STB_T_Firbtrd3_Clt_Capl_SNP_Load,STB0042,STB199SC_HDS,,
STB_T_Firbtrd4_Clt_Capl_Extract,CBRT2,,STB_T_Firbtrd4_Clt_Capl_Extract,STB_T_Firbtrd4_Clt_Capl_Extract,STB0023,STB199SC_STG2,,
